Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Tot_MI,Temperature (°C)
07:47.6,13.14673872,-10.98595715,-16.7256813,28.09599686,54.79133224,61.43898963,29.9347
07:58.1,12.59872533,-10.56825523,-16.14114952,28.25152016,54.56141663,61.31032071,30.0248
08:08.7,12.09984319,-10.19025377,-15.45876312,28.55950737,54.14791107,61.09159493,30.0248
08:19.1,11.55035361,-9.77626491,-15.0970974,28.76275635,54.05154419,61.10457008,29.9708
08:29.6,11.05019508,-9.401483893,-14.64291,29.00709534,54.10211945,61.26832786,29.8626
08:40.1,10.49937106,-8.990869141,-14.05288219,29.37481308,53.87390518,61.24724011,29.9167
08:50.6,9.998061643,-8.619002053,-13.59145832,29.54494286,53.76073456,61.23339587,29.9708
09:01.1,9.446040632,-8.211425882,-13.15730476,29.90029526,53.53949356,61.21558398,30.0068
09:11.6,8.94370327,-7.842171342,-12.55766773,29.96733856,53.17822266,60.93773115,29.9888
09:22.2,8.390618457,-7.437305902,-12.25615501,30.10771942,53.00947189,60.86232598,29.8265
09:32.6,7.887375241,-7.070368503,-11.83776569,30.18962097,52.76301956,60.69194083,29.9527
09:43.1,7.333357253,-6.667890215,-11.3051672,30.29127312,52.70788956,60.6990748,29.9888
09:53.6,6.829325151,-6.30297754,-10.78133297,30.41708755,52.39836121,60.49798459,29.8986
10:04.2,6.274503762,-5.902567092,-10.44577122,30.51304817,52.2363205,60.40888607,29.8265
10:14.7,5.769798886,-5.539390992,-9.882652283,30.80020142,51.94104767,60.3045785,29.9708
10:25.1,5.214300882,-5.140734195,-9.456608772,31.04119492,51.81895447,60.32663769,29.9527
10:35.6,4.709037211,-4.779009511,-8.887167931,31.17494583,51.51908112,60.14321074,29.9167
10:46.1,4.152986815,-4.381793883,-8.490915298,31.26030731,51.26560593,59.97397977,29.9527
10:56.6,3.647277474,-4.021239296,-7.381895065,31.51504517,50.83546448,59.74998431,29.9167
11:07.1,3.09079827,-3.625156199,-6.927780151,31.59562683,50.45344925,59.47189585,29.9527
11:17.6,2.584754891,-3.265491244,-6.604084015,31.72822762,50.16942596,59.30470171,30.0068
11:28.1,2.027969182,-2.870233746,-6.064680099,32.08395386,49.90233994,59.27528107,29.9167
11:38.6,1.521702114,-2.51118052,-5.643163681,32.19939041,49.76118851,59.22274446,29.8806
11:49.1,0.96473103,-2.116443397,-5.193367958,32.1437912,49.58047104,59.04450062,29.8986
11:59.5,0.458350516,-1.75772485,-4.829580784,32.42171478,49.0401001,58.7475057,29.9527
12:10.1,-0.098684988,-1.363203839,-3.848106384,32.44103622,49.05070114,58.77536905,29.9888
12:20.6,-0.60506933,-1.004543669,-3.360283852,32.38850021,48.75498581,58.50387426,30.0789
12:31.0,-1.162048792,-0.609934932,-3.049746513,32.45521164,48.35537338,58.21110848,29.8986
12:41.5,-1.668327386,-0.251056836,-2.847690821,32.62744904,48.0841713,58.08433755,29.9167
12:52.0,-2.174517081,0.108022136,-2.356715441,32.53491592,47.90552521,57.88871552,29.8986
13:02.5,-2.731193079,0.503316053,-1.986334801,32.59666443,47.69988251,57.75668782,30.0248
13:13.0,-3.28769811,0.899012764,-1.5281322,32.74027252,47.29229355,57.50615916,29.8986
13:23.5,-3.793435412,1.259157113,-1.362415075,32.65410233,47.31813812,57.4798589,29.9708
13:34.0,-4.298978266,1.619767089,-1.617709875,32.88994598,47.18793106,57.50505782,29.8986
13:44.4,-4.854821196,2.017051552,-1.232578397,32.97498322,46.85281754,57.28266274,29.9708
13:54.9,-5.359873984,2.378845818,-0.156734362,33.1165123,46.54662704,57.1238579,29.9167
14:05.4,-5.915115857,2.77758778,-0.491606534,33.19669724,46.19957733,56.88523575,29.8986
14:15.9,-6.419565881,3.140848616,-0.038510513,33.13692093,46.1605835,56.82267582,29.9347
14:26.4,-6.974082046,3.54135981,0.281276345,33.0172081,45.88836288,56.53458371,29.9708
14:36.9,-7.477814901,3.906371736,0.679495513,33.04371643,45.55343628,56.28216634,29.9347
14:47.3,-8.031479426,4.308966991,1.024898887,33.05318069,45.3118515,56.09546808,29.9708
14:57.8,-8.534379425,4.676017942,1.258705378,32.93728256,45.15280151,55.90079402,30.0429
15:08.3,-9.08706211,5.08101657,1.515993118,32.86682892,44.78772736,55.56694123,30.0609
